Kennziffer;Raumeinheit;Aggregat;Ausgaben für Sachinvestitionen;Kinderarmut
"09263";"Straubing, Stadt";"krsfr. Stadt";"345,1";"12,2"
"09271";"Deggendorf";"Landkreis";"778,5";"5,5"
"09272";"Freyung-Grafenau";"Landkreis";"600,9";"3,6"
"09273";"Kelheim";"Landkreis";"559,4";"3,4"
"09274";"Landshut";"Landkreis";"861,6";"3,2"
"09275";"Passau";"Landkreis";"589,7";"6,6"
"09276";"Regen";"Landkreis";"605,8";"6,3"
"09277";"Rottal-Inn";"Landkreis";"584,7";"5,7"
"09278";"Straubing-Bogen";"Landkreis";"724,0";"3,8"
"09279";"Dingolfing-Landau";"Landkreis";"1.301,8";"3,4"
"09361";"Amberg, Stadt";"krsfr. Stadt";"543,0";"14,1"
"09362";"Regensburg, Stadt";"krsfr. Stadt";"574,2";"10,1"
"09363";"Weiden i.d.OPf., Stadt";"krsfr. Stadt";"232,2";"16,8"
"09371";"Amberg-Sulzbach";"Landkreis";"587,0";"4,7"
"09372";"Cham";"Landkreis";"714,8";"4,1"
"09373";"Neumarkt i.d.OPf.";"Landkreis";"750,1";"3,4"
"09374";"Neustadt a.d.Waldnaab";"Landkreis";"764,6";"5,6"
"09375";"Regensburg";"Landkreis";"719,8";"3,9"
"09376";"Schwandorf";"Landkreis";"615,3";"5,6"
"09377";"Tirschenreuth";"Landkreis";"791,0";"5,2"
"09461";"Bamberg, Stadt";"krsfr. Stadt";"413,5";"10,5"
"09462";"Bayreuth, Stadt";"krsfr. Stadt";"226,3";"12,5"
"09463";"Coburg, Stadt";"krsfr. Stadt";"303,3";"14,7"
"09464";"Hof, Stadt";"krsfr. Stadt";"220,2";"25,8"
"09471";"Bamberg";"Landkreis";"612,6";"3,6"
"09472";"Bayreuth";"Landkreis";"492,3";"4,6"
"09473";"Coburg";"Landkreis";"648,8";"7,5"
"09474";"Forchheim";"Landkreis";"452,8";"5,5"
"09475";"Hof";"Landkreis";"491,8";"6,5"
